asset,model,h,delta_rmse_F5_minus_F1,delta_r2_F5_minus_F1
INTC,LSTM,5,0.08643913269042969,-0.004991471767425537
INTC,LSTM,10,0.4283125400543213,-0.0366358757019043
INTC,LSTM,15,0.06779861450195312,-0.006641209125518799
INTC,xLSTM,1,0.494424045085907,-0.020267009735107422
INTC,xLSTM,3,0.5297552347183228,-0.03239715099334717
INTC,xLSTM,5,0.33250486850738525,-0.021909236907958984
INTC,xLSTM,10,0.5151562690734863,-0.04500913619995117
INTC,xLSTM,15,0.5355308055877686,-0.05636870861053467
JNJ,LSTM,1,0.10992157459259033,-0.007086753845214844
JNJ,LSTM,3,0.04298830032348633,-0.0038706064224243164
JNJ,LSTM,5,0.36360764503479004,-0.04084932804107666
JNJ,LSTM,10,1.084080457687378,-0.17167699337005615
JNJ,LSTM,15,-0.13963842391967773,0.024510681629180908
JNJ,xLSTM,1,2.681383967399597,-0.3110063076019287
JNJ,xLSTM,3,0.6350579261779785,-0.06299054622650146
JNJ,xLSTM,5,0.1717672348022461,-0.018523097038269043
JNJ,xLSTM,10,0.9768068790435791,-0.15474611520767212
JNJ,xLSTM,15,0.7836575508117676,-0.14300751686096191
JPM,LSTM,1,0.13608789443969727,-0.0003687143325805664
JPM,LSTM,3,0.11767935752868652,-0.00044846534729003906
JPM,LSTM,5,0.5991554260253906,-0.0029205679893493652
JPM,LSTM,10,0.7870311737060547,-0.0052939653396606445
JPM,LSTM,15,0.5406999588012695,-0.004240751266479492
JPM,xLSTM,1,0.7481932640075684,-0.0023102760314941406
JPM,xLSTM,3,0.8064091205596924,-0.0033498406410217285
JPM,xLSTM,5,0.5090022087097168,-0.0025256872177124023
JPM,xLSTM,10,0.42332887649536133,-0.002823054790496826
JPM,xLSTM,15,0.5192356109619141,-0.004115104675292969
KO,LSTM,1,0.007375001907348633,-0.0005017518997192383
KO,LSTM,3,0.00779879093170166,-0.0007552504539489746
KO,LSTM,5,0.020979464054107666,-0.0024483203887939453
KO,LSTM,10,0.09564018249511719,-0.015711545944213867
KO,LSTM,15,0.10660994052886963,-0.02190232276916504
KO,xLSTM,1,0.06991559267044067,-0.005228698253631592
KO,xLSTM,3,0.20732998847961426,-0.022986948490142822
KO,xLSTM,5,0.09478741884231567,-0.011488020420074463
KO,xLSTM,10,0.043134450912475586,-0.006969332695007324
KO,xLSTM,15,0.07001709938049316,-0.013822793960571289
MSFT,LSTM,1,0.09328746795654297,-0.00019532442092895508
MSFT,LSTM,3,1.180427074432373,-0.00347745418548584
MSFT,LSTM,5,2.64211368560791,-0.009855151176452637
MSFT,LSTM,10,12.754742622375488,-0.08667480945587158
MSFT,LSTM,15,1.548954963684082,-0.008498549461364746
MSFT,xLSTM,1,15.42215633392334,-0.07422524690628052
MSFT,xLSTM,3,14.161216735839844,-0.07491683959960938
MSFT,xLSTM,5,12.988160133361816,-0.0730581283569336
MSFT,xLSTM,10,11.862587928771973,-0.07634097337722778
MSFT,xLSTM,15,7.515354156494141,-0.04984408617019653
NKE,LSTM,1,0.28160595893859863,-0.005928397178649902
NKE,LSTM,3,-0.03181266784667969,0.0009754300117492676
NKE,LSTM,5,0.5375397205352783,-0.02010291814804077
NKE,LSTM,10,0.48131847381591797,-0.024370849132537842
NKE,LSTM,15,0.5880718231201172,-0.03670024871826172
NKE,xLSTM,1,1.1896941661834717,-0.030682742595672607
NKE,xLSTM,3,0.6240310668945312,-0.020431876182556152
NKE,xLSTM,5,1.0271685123443604,-0.04095107316970825
NKE,xLSTM,10,0.6224217414855957,-0.031598567962646484
NKE,xLSTM,15,1.0915164947509766,-0.06875479221343994
V,LSTM,1,0.5443594455718994,-0.0027092695236206055
V,LSTM,3,0.40429162979125977,-0.0027289390563964844
V,LSTM,5,0.8623976707458496,-0.007274031639099121
V,LSTM,10,2.10213041305542,-0.02532273530960083
V,LSTM,15,2.034456253051758,-0.029107749462127686
V,xLSTM,1,2.3215172290802,-0.014980852603912354
V,xLSTM,3,0.9452219009399414,-0.006734311580657959
V,xLSTM,5,1.4260225296020508,-0.01275569200515747
V,xLSTM,10,1.2113823890686035,-0.013763010501861572
V,xLSTM,15,2.0124783515930176,-0.02809906005859375
