asset,model,feature,n_features,h,rmse_level,r2_level,er_rmse_level,er_r2_level,F
NKE,LSTM,price_only,1,5,3.8393056392669678,0.9329057335853577,-0.026497364044189453,-0.0009292960166931152,F1
NKE,LSTM,price_only,1,10,5.241122722625732,0.8731371760368347,0.05607938766479492,0.002700328826904297,F1
NKE,LSTM,price_only,1,15,6.3628997802734375,0.8102226257324219,0.18959617614746094,0.011141180992126465,F1
NKE,LSTM,price_plus_sentiment,5,1,2.4839909076690674,0.9722822308540344,-0.9814379215240479,-0.0262298583984375,F5
NKE,LSTM,price_plus_sentiment,5,3,3.3731470108032227,0.9485316872596741,-0.557976245880127,-0.01843583583831787,F5
NKE,LSTM,price_plus_sentiment,5,5,4.376845359802246,0.9128028154373169,-0.5161261558532715,-0.021777451038360596,F5
NKE,LSTM,price_plus_sentiment,5,10,5.72244119644165,0.8487663269042969,-0.08502388000488281,-0.004527390003204346,F5
NKE,LSTM,price_plus_sentiment,5,15,6.950971603393555,0.7735223770141602,-0.31384849548339844,-0.020913362503051758,F5
NKE,xLSTM,price_only,1,1,2.2757346630096436,0.9767351150512695,-0.0733497142791748,-0.001475512981414795,F1
NKE,xLSTM,price_only,1,3,3.3070921897888184,0.9505277276039124,0.09786748886108398,0.002971470355987549,F1
NKE,xLSTM,price_only,1,5,3.8658030033111572,0.9319764375686646,-0.026497364044189453,-0.0009292960166931152,F1
NKE,xLSTM,price_only,1,10,5.1850433349609375,0.875837504863739,0.05607938766479492,0.002700328826904297,F1
NKE,xLSTM,price_only,1,15,6.173303604125977,0.8213638067245483,0.18959617614746094,0.011141180992126465,F1
NKE,xLSTM,price_plus_sentiment,5,1,3.4654288291931152,0.9460523724555969,-0.9814379215240479,-0.0262298583984375,F5
NKE,xLSTM,price_plus_sentiment,5,3,3.9311232566833496,0.9300958514213562,-0.557976245880127,-0.01843583583831787,F5
NKE,xLSTM,price_plus_sentiment,5,5,4.892971515655518,0.8910253643989563,-0.5161261558532715,-0.021777451038360596,F5
NKE,xLSTM,price_plus_sentiment,5,10,5.807465076446533,0.8442389369010925,-0.08502388000488281,-0.004527390003204346,F5
NKE,xLSTM,price_plus_sentiment,5,15,7.264820098876953,0.7526090145111084,-0.31384849548339844,-0.020913362503051758,F5
V,LSTM,price_only,1,1,3.068129539489746,0.9929872751235962,-0.10215353965759277,-0.00047475099563598633,F1
V,LSTM,price_only,1,3,4.280190944671631,0.9862059354782104,0.021705150604248047,0.00013953447341918945,F1
V,LSTM,price_only,1,5,5.116815090179443,0.9800978899002075,-0.053827762603759766,-0.0004209280014038086,F1
V,LSTM,price_only,1,10,6.709600925445557,0.9650606513023376,-0.004182338714599609,-4.357099533081055e-05,F1
V,LSTM,price_only,1,15,8.058943748474121,0.9488100409507751,0.20786333084106445,0.002606630325317383,F1
V,LSTM,price_plus_sentiment,5,1,3.6124889850616455,0.9902780055999756,-1.8793113231658936,-0.012746334075927734,F5
V,LSTM,price_plus_sentiment,5,3,4.684482574462891,0.983476996421814,-0.5192251205444336,-0.003865838050842285,F5
